GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US34001,34001,"Atlantic County, New Jersey",271620,*****,178184,3080,44553,746,221,241,17984,355,40,70,27327,3091,3311,729,397,338,2914,616
0500000US34003,34003,"Bergen County, New Jersey",904037,*****,672604,5303,51504,1863,1146,663,125373,1835,144,173,40678,5022,12588,2610,3827,1216,8761,2144
0500000US34005,34005,"Burlington County, New Jersey",450627,*****,336398,2951,73366,1587,462,438,18007,1028,58,92,12905,2831,9431,2026,1500,1044,7931,1757
0500000US34007,34007,"Camden County, New Jersey",517001,*****,345113,2958,97253,2588,1385,445,23789,699,176,278,39694,3558,9591,2522,2635,1052,6956,2295
0500000US34009,34009,"Cape May County, New Jersey",97724,*****,88601,1619,5966,804,157,191,363,320,0,273,1422,1441,1215,765,401,448,814,717
0500000US34011,34011,"Cumberland County, New Jersey",154823,*****,103852,3332,31540,1234,1379,245,1718,162,0,273,13710,3226,2624,911,947,489,1677,797
0500000US34013,34013,"Essex County, New Jersey",786147,*****,334699,5919,323306,3312,2661,1004,33772,845,40,67,77567,6373,14102,2953,7909,2633,6193,1362
0500000US34015,34015,"Gloucester County, New Jersey",282031,*****,238991,1319,27447,1569,381,353,6416,383,73,120,3492,1078,5231,1699,1281,915,3950,1433
0500000US34017,34017,"Hudson County, New Jersey",601146,*****,339879,6675,85206,3193,3115,2054,68136,1342,151,249,96663,7102,7996,1859,4025,1541,3971,1393
0500000US34019,34019,"Hunterdon County, New Jersey",130783,*****,120038,1037,2502,912,0,273,5010,967,0,273,1797,950,1436,660,56,94,1380,651
0500000US34021,34021,"Mercer County, New Jersey",367605,*****,241856,3822,72257,1632,760,342,30494,355,499,480,16783,3673,4956,1523,744,459,4212,1361
0500000US34023,34023,"Middlesex County, New Jersey",786971,*****,478685,4737,73615,1847,1401,590,142423,1513,0,273,76150,4896,14697,3221,6193,2159,8504,2361
0500000US34025,34025,"Monmouth County, New Jersey",635285,*****,523224,3254,48488,1222,1393,1172,32998,896,67,111,21246,3196,7869,1749,2839,926,5030,1366
0500000US34027,34027,"Morris County, New Jersey",493160,*****,412738,4125,15151,953,115,129,42389,916,2255,2223,15726,3858,4786,1533,1594,1068,3192,1029
0500000US34029,34029,"Ocean County, New Jersey",562335,*****,509589,2594,18501,944,626,529,9244,930,296,338,17931,2618,6148,1357,2254,831,3894,1027
0500000US34031,34031,"Passaic County, New Jersey",497093,*****,293218,7952,60066,2107,686,638,22959,540,0,273,112101,8266,8063,2222,4284,1659,3779,1572
0500000US34033,34033,"Salem County, New Jersey",66595,*****,53289,897,10104,558,146,215,315,220,0,273,2222,907,519,294,42,61,477,290
0500000US34035,34035,"Somerset County, New Jersey",324186,*****,243382,2511,27536,733,532,376,40655,749,0,273,7987,2294,4094,1282,1564,1046,2530,704
0500000US34037,34037,"Sussex County, New Jersey",153384,*****,144127,942,2557,376,0,273,2882,518,0,273,2259,913,1559,621,173,172,1386,592
0500000US34039,34039,"Union County, New Jersey",531088,*****,315418,6016,112370,1951,928,461,24606,1649,563,789,69695,6494,7508,1637,3099,902,4409,1304
0500000US34041,34041,"Warren County, New Jersey",110919,*****,99275,1153,3873,325,0,273,2845,436,0,273,3874,1135,1052,676,547,453,505,494
