GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 5 years and over
HC01_MOE_VC01,Total; Margin of Error; Population 5 years and over
HC02_EST_VC01,Male; Estimate; Population 5 years and over
HC02_MOE_VC01,Male; Margin of Error; Population 5 years and over
HC03_EST_VC01,Female; Estimate; Population 5 years and over
HC03_MOE_VC01,Female; Margin of Error; Population 5 years and over
HC01_EST_VC02,Total; Estimate; Population 5 years and over - Without any disability
HC01_MOE_VC02,Total; Margin of Error; Population 5 years and over - Without any disability
HC02_EST_VC02,Male; Estimate; Population 5 years and over - Without any disability
HC02_MOE_VC02,Male; Margin of Error; Population 5 years and over - Without any disability
HC03_EST_VC02,Female; Estimate; Population 5 years and over - Without any disability
HC03_MOE_VC02,Female; Margin of Error; Population 5 years and over - Without any disability
HC01_EST_VC03,Total; Estimate; Population 5 years and over - With one type of disability
HC01_MOE_VC03,Total; Margin of Error; Population 5 years and over - With one type of disability
HC02_EST_VC03,Male; Estimate; Population 5 years and over - With one type of disability
HC02_MOE_VC03,Male; Margin of Error; Population 5 years and over - With one type of disability
HC03_EST_VC03,Female; Estimate; Population 5 years and over - With one type of disability
HC03_MOE_VC03,Female; Margin of Error; Population 5 years and over - With one type of disability
HC01_EST_VC04,Total; Estimate; Population 5 years and over - With two or more types of disabilities
HC01_MOE_VC04,Total; Margin of Error; Population 5 years and over - With two or more types of disabilities
HC02_EST_VC04,Male; Estimate; Population 5 years and over - With two or more types of disabilities
HC02_MOE_VC04,Male; Margin of Error; Population 5 years and over - With two or more types of disabilities
HC03_EST_VC04,Female; Estimate; Population 5 years and over - With two or more types of disabilities
HC03_MOE_VC04,Female; Margin of Error; Population 5 years and over - With two or more types of disabilities
HC01_EST_VC05,Total; Estimate; Population 5 to 15 years
HC01_MOE_VC05,Total; Margin of Error; Population 5 to 15 years
HC02_EST_VC05,Male; Estimate; Population 5 to 15 years
HC02_MOE_VC05,Male; Margin of Error; Population 5 to 15 years
HC03_EST_VC05,Female; Estimate; Population 5 to 15 years
