GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US34001,34001,"Atlantic County, New Jersey",274338,*****,179270,3187,44368,2832,1822,1871,21428,730,59,109,18490,4305,8901,2952,4408,2493,4493,1354
0500000US34003,34003,"Bergen County, New Jersey",911004,*****,654563,6838,53277,1786,1022,991,134508,2268,232,377,51470,7000,15932,2901,3589,1162,12343,2425
0500000US34005,34005,"Burlington County, New Jersey",449576,*****,330917,3237,73921,1903,374,235,20437,1139,206,200,9985,2952,13736,2420,2502,913,11234,2220
0500000US34007,34007,"Camden County, New Jersey",513241,*****,333172,4001,94751,2458,1111,341,27084,849,293,342,40039,3980,16791,3135,4734,1252,12057,2763
0500000US34011,34011,"Cumberland County, New Jersey",157095,*****,99207,3293,33423,1623,2543,1251,2347,199,0,198,14758,3031,4817,1363,2541,1136,2276,888
0500000US34013,34013,"Essex County, New Jersey",785137,*****,347152,6142,311382,3534,1569,602,36482,1417,108,185,64491,6043,23953,3602,5544,1830,18409,3134
0500000US34015,34015,"Gloucester County, New Jersey",289104,*****,239025,1420,28684,2004,986,821,8643,450,93,165,5146,1667,6527,2353,347,255,6180,2374
0500000US34017,34017,"Hudson County, New Jersey",641224,*****,351987,8279,80169,4231,2366,857,87569,1699,552,591,99555,9138,19026,3611,7229,1917,11797,3136
0500000US34019,34019,"Hunterdon County, New Jersey",128038,*****,115503,1226,3541,329,53,78,4202,585,0,198,2925,1217,1814,752,803,645,1011,543
0500000US34021,34021,"Mercer County, New Jersey",367063,*****,225447,4300,74193,1919,634,224,33077,2107,0,198,26500,4908,7212,1924,1850,989,5362,1399
0500000US34023,34023,"Middlesex County, New Jersey",814217,*****,511710,4734,77386,2174,1481,786,178840,2238,674,755,25142,4948,18984,3116,5110,1532,13874,2697
0500000US34025,34025,"Monmouth County, New Jersey",631020,*****,530047,3557,45202,1795,2112,1589,31963,1204,3,8,8095,2437,13598,2497,2238,870,11360,2393
0500000US34027,34027,"Morris County, New Jersey",494976,*****,403854,4702,16213,1039,335,336,45118,1780,119,200,19741,4954,9596,2295,2666,1289,6930,1715
0500000US34029,34029,"Ocean County, New Jersey",579369,*****,530955,2977,17523,1830,858,462,9812,1044,48,87,8762,2453,11411,3187,1790,1000,9621,3004
0500000US34031,34031,"Passaic County, New Jersey",502007,*****,342514,6961,61398,2151,1787,1186,26556,939,325,431,46879,6166,22548,4776,4867,1708,17681,4467
0500000US34033,34033,"Salem County, New Jersey",65902,*****,52283,761,10067,657,242,110,763,32,17,29,1242,711,1288,537,413,375,875,468
0500000US34035,34035,"Somerset County, New Jersey",324893,*****,226708,4020,29218,1389,446,526,47599,1462,0,198,13593,3583,7329,2284,1700,1058,5629,2086
0500000US34037,34037,"Sussex County, New Jersey",148517,*****,139545,726,3158,398,12,21,3018,447,0,198,899,545,1885,571,525,418,1360,586
0500000US34039,34039,"Union County, New Jersey",539494,*****,305703,5606,115463,3781,835,727,24780,1371,610,994,82985,6500,9118,2430,2632,1207,6486,2123
0500000US34041,34041,"Warren County, New Jersey",108339,*****,96554,1289,4313,367,133,147,2738,464,0,198,2952,1231,1649,799,632,504,1017,522
