Geography,year,variable_name,variable,estimate,moe
"Atlantic County, New Jersey",2006,Estimate!!Total,B01001_001,271620,0
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,131331,340
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,8835,277
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,8743,1008
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,9579,1014
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,5862,149
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,4778,959
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,1234,447
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,2804,647
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,3285,671
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,8433,305
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,8064,566
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,9829,1302
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,11852,1312
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,10612,623
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,9241,318
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,7671,923
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,2565,717
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,3168,681
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,1464,454
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,3101,531
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,3487,678
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,3504,603
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,2260,652
"Atlantic County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,960,334
"Atlantic County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,140289,340
"Atlantic County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,8200,278
"Atlantic County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,7277,1156
"Atlantic County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,10304,1119
"Bergen County, New Jersey",2006,Estimate!!Total,B01001_001,904037,0
"Bergen County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,438822,355
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,26117,2
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,28912,1855
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,30089,1874
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,18824,187
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,10845,620
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,3944,1211
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,5462,1285
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,16574,1476
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,21508,2
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,27087,91
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,34575,2533
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,37671,2556
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,37642,75
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,32996,2
"Bergen County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,28669,1747
