buyer_county,buyer_state,year,count,dosage_unit,countyfips
ATLANTIC,NJ,2006,27221,8780777,34001
ATLANTIC,NJ,2007,28029,10195770,34001
ATLANTIC,NJ,2008,28581,11459000,34001
ATLANTIC,NJ,2009,27501,10522182,34001
ATLANTIC,NJ,2010,27723,10556970,34001
ATLANTIC,NJ,2011,28478,11240810,34001
ATLANTIC,NJ,2012,26129,10832740,34001
ATLANTIC,NJ,2013,27594,11054760,34001
ATLANTIC,NJ,2014,26609,11379000,34001
BERGEN,NJ,2006,45039,12716057,34003
BERGEN,NJ,2007,49143,14923200,34003
BERGEN,NJ,2008,52005,16883800,34003
BERGEN,NJ,2009,51187,16666189,34003
BERGEN,NJ,2010,52797,17959800,34003
BERGEN,NJ,2011,54851,20202950,34003
BERGEN,NJ,2012,52324,19118950,34003
BERGEN,NJ,2013,54385,18015110,34003
BERGEN,NJ,2014,54086,17593040,34003
BURLINGTON,NJ,2006,34363,10203711,34005
BURLINGTON,NJ,2007,35559,11978548,34005
BURLINGTON,NJ,2008,37570,14269950,34005
BURLINGTON,NJ,2009,39794,14353220,34005
BURLINGTON,NJ,2010,42755,15506560,34005
BURLINGTON,NJ,2011,44494,16432280,34005
BURLINGTON,NJ,2012,45472,16094210,34005
BURLINGTON,NJ,2013,47281,16144162,34005
BURLINGTON,NJ,2014,44639,15889660,34005
CAMDEN,NJ,2006,51520,17225439,34007
CAMDEN,NJ,2007,55094,19802853,34007
CAMDEN,NJ,2008,56361,21860380,34007
CAMDEN,NJ,2009,56456,21915444,34007
CAMDEN,NJ,2010,56391,23301852,34007
CAMDEN,NJ,2011,57135,24264094,34007
CAMDEN,NJ,2012,56715,23647370,34007
CAMDEN,NJ,2013,58615,22447478,34007
CAMDEN,NJ,2014,54672,21677054,34007
CAPE MAY,NJ,2006,11776,3335959,34009
CAPE MAY,NJ,2007,12355,3825017,34009
CAPE MAY,NJ,2008,11567,3859680,34009
CAPE MAY,NJ,2009,11188,3807650,34009
CAPE MAY,NJ,2010,12011,3955740,34009
CAPE MAY,NJ,2011,12731,4191960,34009
CAPE MAY,NJ,2012,12497,4276250,34009
CAPE MAY,NJ,2013,13190,4410740,34009
CAPE MAY,NJ,2014,12130,4292480,34009
CUMBERLAND,NJ,2006,12681,4226245,34011
CUMBERLAND,NJ,2007,13047,4884996,34011
CUMBERLAND,NJ,2008,13882,5844380,34011
CUMBERLAND,NJ,2009,14162,5823430,34011
CUMBERLAND,NJ,2010,15417,6260870,34011
CUMBERLAND,NJ,2011,16909,7279280,34011
CUMBERLAND,NJ,2012,16918,7460110,34011
CUMBERLAND,NJ,2013,16657,7200350,34011
CUMBERLAND,NJ,2014,14993,7251850,34011
ESSEX,NJ,2006,34802,11861082,34013
ESSEX,NJ,2007,36393,11885077,34013
ESSEX,NJ,2008,37746,13302670,34013
ESSEX,NJ,2009,38013,12935500,34013
ESSEX,NJ,2010,38907,13693400,34013
ESSEX,NJ,2011,39853,15601880,34013
ESSEX,NJ,2012,37704,14220250,34013
ESSEX,NJ,2013,39673,13387330,34013
ESSEX,NJ,2014,40641,13021010,34013
GLOUCESTER,NJ,2006,23713,9445391,34015
GLOUCESTER,NJ,2007,24559,10796269,34015
GLOUCESTER,NJ,2008,26012,12114720,34015
GLOUCESTER,NJ,2009,26306,11707980,34015
GLOUCESTER,NJ,2010,27791,12576370,34015
GLOUCESTER,NJ,2011,28584,13871990,34015
GLOUCESTER,NJ,2012,27872,14107410,34015
GLOUCESTER,NJ,2013,29999,13929880,34015
GLOUCESTER,NJ,2014,28931,14771720,34015
HUDSON,NJ,2006,25068,7138268,34017
HUDSON,NJ,2007,27507,8529114,34017
HUDSON,NJ,2008,28658,8885652,34017
HUDSON,NJ,2009,30656,9509730,34017
HUDSON,NJ,2010,29942,9886213,34017
HUDSON,NJ,2011,30765,11427500,34017
HUDSON,NJ,2012,29193,10604495,34017
HUDSON,NJ,2013,31146,10363520,34017
HUDSON,NJ,2014,32918,10418905,34017
HUNTERDON,NJ,2006,6868,1640603,34019
HUNTERDON,NJ,2007,7734,2091510,34019
HUNTERDON,NJ,2008,7848,2543040,34019
HUNTERDON,NJ,2009,7895,2181920,34019
HUNTERDON,NJ,2010,8247,2238480,34019
HUNTERDON,NJ,2011,8692,2422650,34019
HUNTERDON,NJ,2012,8668,2425160,34019
HUNTERDON,NJ,2013,8947,2292650,34019
HUNTERDON,NJ,2014,8780,2168520,34019
MERCER,NJ,2006,19397,5785750,34021
MERCER,NJ,2007,21455,6768813,34021
MERCER,NJ,2008,23471,7794782.5,34021
MERCER,NJ,2009,23328,7937020,34021
MERCER,NJ,2010,24467,8434185,34021
MERCER,NJ,2011,25103,9064755,34021
MERCER,NJ,2012,25019,9134404,34021
MERCER,NJ,2013,26924,9003640,34021
MERCER,NJ,2014,26827,8870980,34021
MIDDLESEX,NJ,2006,44279,13231226,34023
MIDDLESEX,NJ,2007,48499,15829233,34023
MIDDLESEX,NJ,2008,52986,19374211,34023
MIDDLESEX,NJ,2009,55640,21273342,34023
MIDDLESEX,NJ,2010,57220,23164496,34023
MIDDLESEX,NJ,2011,56972,23572010,34023
MIDDLESEX,NJ,2012,53208,20962940,34023
MIDDLESEX,NJ,2013,56308,18823970,34023
MIDDLESEX,NJ,2014,57283,17521950,34023
MONMOUTH,NJ,2006,47965,14269796,34025
MONMOUTH,NJ,2007,52343,16102678,34025
MONMOUTH,NJ,2008,53690,17110711,34025
MONMOUTH,NJ,2009,54050,17440260,34025
MONMOUTH,NJ,2010,56047,18444086,34025
MONMOUTH,NJ,2011,56381,20119645,34025
MONMOUTH,NJ,2012,53167,18303814,34025
MONMOUTH,NJ,2013,58127,17196322,34025
MONMOUTH,NJ,2014,57197,16397160,34025
MORRIS,NJ,2006,26141,7136351,34027
MORRIS,NJ,2007,28956,8640099,34027
MORRIS,NJ,2008,30940,10312430,34027
MORRIS,NJ,2009,30969,9576669,34027
MORRIS,NJ,2010,32073,9972146,34027
MORRIS,NJ,2011,32668,10905380,34027
