Geography,year,population
ATLANTIC,2005,264403
BERGEN,2005,891237
BURLINGTON,2005,436706
CAMDEN,2005,507843
CAPE MAY,2005,96630
CUMBERLAND,2005,139968
ESSEX,2005,769628
GLOUCESTER,2005,271709
HUDSON,2005,594071
HUNTERDON,2005,126116
MERCER,2005,345118
MIDDLESEX,2005,768696
MONMOUTH,2005,625874
MORRIS,2005,481139
OCEAN,2005,550447
PASSAIC,2005,487756
SALEM,2005,65124
SOMERSET,2005,314960
SUSSEX,2005,151443
UNION,2005,523649
WARREN,2005,108910
ATLANTIC,2006,271620
BERGEN,2006,904037
BURLINGTON,2006,450627
CAMDEN,2006,517001
CAPE MAY,2006,97724
CUMBERLAND,2006,154823
ESSEX,2006,786147
GLOUCESTER,2006,282031
HUDSON,2006,601146
HUNTERDON,2006,130783
MERCER,2006,367605
MIDDLESEX,2006,786971
MONMOUTH,2006,635285
MORRIS,2006,493160
OCEAN,2006,562335
PASSAIC,2006,497093
SALEM,2006,66595
SOMERSET,2006,324186
SUSSEX,2006,153384
UNION,2006,531088
WARREN,2006,110919
ATLANTIC,2007,270644
BERGEN,2007,895744
BURLINGTON,2007,446817
CAMDEN,2007,513769
CAPE MAY,2007,96422
CUMBERLAND,2007,155544
ESSEX,2007,776087
GLOUCESTER,2007,285753
HUDSON,2007,598160
HUNTERDON,2007,129348
MERCER,2007,365449
MIDDLESEX,2007,788629
MONMOUTH,2007,642030
MORRIS,2007,488475
OCEAN,2007,565493
PASSAIC,2007,492115
SALEM,2007,66016
SOMERSET,2007,323552
SUSSEX,2007,151478
UNION,2007,524658
WARREN,2007,109737
ATLANTIC,2008,270681
BERGEN,2008,894840
BURLINGTON,2008,445475
CAMDEN,2008,517234
CAPE MAY,2008,95838
CUMBERLAND,2008,156830
ESSEX,2008,770675
GLOUCESTER,2008,287860
HUDSON,2008,595419
HUNTERDON,2008,129031
MERCER,2008,364883
MIDDLESEX,2008,789102
MONMOUTH,2008,642448
MORRIS,2008,487548
OCEAN,2008,569111
PASSAIC,2008,490948
SALEM,2008,66141
SOMERSET,2008,324563
SUSSEX,2008,150909
UNION,2008,523249
WARREN,2008,109876
ATLANTIC,2009,271712
BERGEN,2009,895250
BURLINGTON,2009,446108
CAMDEN,2009,517879
CAPE MAY,2009,96092
CUMBERLAND,2009,157745
ESSEX,2009,769644
GLOUCESTER,2009,289920
HUDSON,2009,597924
HUNTERDON,2009,130034
MERCER,2009,366222
MIDDLESEX,2009,790738
MONMOUTH,2009,644105
MORRIS,2009,488518
OCEAN,2009,573678
PASSAIC,2009,491778
SALEM,2009,66342
SOMERSET,2009,326869
SUSSEX,2009,151118
UNION,2009,526426
WARREN,2009,109638
ATLANTIC,2010,274685
BERGEN,2010,906541
BURLINGTON,2010,449149
