County,State,2016 Prescribing Rate,year,prescription_rate
ATLANTIC,NJ,NA,2006,84.8
BERGEN,NJ,NA,2006,46.3
BURLINGTON,NJ,NA,2006,59.3
CAMDEN,NJ,NA,2006,85.3
CAPE MAY,NJ,NA,2006,93.1
CUMBERLAND,NJ,NA,2006,85.2
ESSEX,NJ,NA,2006,42.5
GLOUCESTER,NJ,NA,2006,83.0
HUDSON,NJ,NA,2006,36.8
HUNTERDON,NJ,NA,2006,35.6
MERCER,NJ,NA,2006,54.3
MIDDLESEX,NJ,NA,2006,45.7
MONMOUTH,NJ,NA,2006,59.9
MORRIS,NJ,NA,2006,47.2
OCEAN,NJ,NA,2006,74.1
PASSAIC,NJ,NA,2006,43.6
SALEM,NJ,NA,2006,74.6
SOMERSET,NJ,NA,2006,37.3
SUSSEX,NJ,NA,2006,51.8
UNION,NJ,NA,2006,43.2
WARREN,NJ,NA,2006,60.7
ATLANTIC,NJ,NA,2007,89.4
BERGEN,NJ,NA,2007,48.0
BURLINGTON,NJ,NA,2007,63.1
CAMDEN,NJ,NA,2007,89.8
CAPE MAY,NJ,NA,2007,105.5
CUMBERLAND,NJ,NA,2007,89.7
ESSEX,NJ,NA,2007,42.9
GLOUCESTER,NJ,NA,2007,86.0
HUDSON,NJ,NA,2007,37.9
HUNTERDON,NJ,NA,2007,39.5
MERCER,NJ,NA,2007,57.0
MIDDLESEX,NJ,NA,2007,47.6
MONMOUTH,NJ,NA,2007,63.3
MORRIS,NJ,NA,2007,48.5
OCEAN,NJ,NA,2007,78.1
PASSAIC,NJ,NA,2007,45.4
SALEM,NJ,NA,2007,77.4
SOMERSET,NJ,NA,2007,40.0
SUSSEX,NJ,NA,2007,51.8
UNION,NJ,NA,2007,45.6
WARREN,NJ,NA,2007,65.2
ATLANTIC,NJ,NA,2008,91.0
BERGEN,NJ,NA,2008,48.9
BURLINGTON,NJ,NA,2008,67.3
CAMDEN,NJ,NA,2008,94.2
CAPE MAY,NJ,NA,2008,107.0
CUMBERLAND,NJ,NA,2008,90.0
ESSEX,NJ,NA,2008,45.6
GLOUCESTER,NJ,NA,2008,86.4
HUDSON,NJ,NA,2008,38.9
HUNTERDON,NJ,NA,2008,42.5
MERCER,NJ,NA,2008,59.3
MIDDLESEX,NJ,NA,2008,49.6
MONMOUTH,NJ,NA,2008,65.4
MORRIS,NJ,NA,2008,51.3
OCEAN,NJ,NA,2008,81.4
PASSAIC,NJ,NA,2008,48.8
SALEM,NJ,NA,2008,77.7
SOMERSET,NJ,NA,2008,41.6
SUSSEX,NJ,NA,2008,52.1
UNION,NJ,NA,2008,48.0
WARREN,NJ,NA,2008,67.0
ATLANTIC,NJ,NA,2009,89.0
BERGEN,NJ,NA,2009,49.1
BURLINGTON,NJ,NA,2009,71.1
CAMDEN,NJ,NA,2009,92.1
CAPE MAY,NJ,NA,2009,102.7
CUMBERLAND,NJ,NA,2009,91.9
ESSEX,NJ,NA,2009,43.0
GLOUCESTER,NJ,NA,2009,83.8
HUDSON,NJ,NA,2009,39.4
HUNTERDON,NJ,NA,2009,41.2
MERCER,NJ,NA,2009,58.6
MIDDLESEX,NJ,NA,2009,52.4
MONMOUTH,NJ,NA,2009,67.0
MORRIS,NJ,NA,2009,51.8
OCEAN,NJ,NA,2009,82.9
PASSAIC,NJ,NA,2009,50.4
SALEM,NJ,NA,2009,80.8
SOMERSET,NJ,NA,2009,42.9
SUSSEX,NJ,NA,2009,54.0
UNION,NJ,NA,2009,49.6
WARREN,NJ,NA,2009,66.2
ATLANTIC,NJ,NA,2010,83.4
BERGEN,NJ,NA,2010,50.0
BURLINGTON,NJ,NA,2010,72.0
CAMDEN,NJ,NA,2010,91.8
CAPE MAY,NJ,NA,2010,101.6
CUMBERLAND,NJ,NA,2010,93.1
