Geography,year,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Total:,Margin of Error; Total:,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Total; Margin of Error; AGE - Under 5 years,Total; Margin of Error; AGE - 5 to 9 years,Total; Margin of Error; AGE - 10 to 14 years,Total; Margin of Error; AGE - 15 to 19 years,Total; Margin of Error; AGE - 20 to 24 years,Total; Margin of Error; AGE - 25 to 29 years,Total; Margin of Error; AGE - 30 to 34 years,Total; Margin of Error; AGE - 35 to 39 years,Total; Margin of Error; AGE - 40 to 44 years,Total; Margin of Error; AGE - 45 to 49 years,Total; Margin of Error; AGE - 50 to 54 years,Total; Margin of Error; AGE - 55 to 59 years,Total; Margin of Error; AGE - 60 to 64 years,Total; Margin of Error; AGE - 65 to 69 years,Total; Margin of Error; AGE - 70 to 74 years,Total; Margin of Error; AGE - 75 to 79 years,Total; Margin of Error; AGE - 80 to 84 years,Total; Margin of Error; AGE - 85 years and over,Male; Estimate; Total population,Male; Margin of Error; Total population,Female; Estimate; Total population,Female; Margin of Error; Total population,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over,unemployment_rate_bls
"Atlantic County, New Jersey",2010,184736,4383,44005,1954,554,269,21383,862,716,861,15618,4235,7673,2318,4243,1806,3430,1294,274685,NA,6,6.1,6.8,7,6.7,5.7,5.5,5.5,7.8,8.1,8.1,6.7,5.7,4.7,3.1,2.1,2.5,1.9,0.1,0.6,0.6,0.4,0.4,0.4,0.3,0.6,0.6,0.2,0.2,0.6,0.6,0.4,0.4,0.3,0.3,0.3,132679,611,142006,611,12.6,1.7,12.3
"Bergen County, New Jersey",2010,666546,5193,49811,2143,2061,1145,131089,2427,0,281,39831,5150,17203,2780,4444,1322,12759,2552,906541,NA,5.5,6.2,6.6,6.3,5.3,5.6,6,6.4,7.8,8.3,8,7.2,5.6,4.4,3.1,2.6,2.5,2.5,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,436535,1088,470006,1088,8.5,0.7,8
"Burlington County, New Jersey",2010,334694,2086,74845,2199,536,454,19499,1065,141,225,6420,1585,13014,2534,2476,1180,10538,2333,449149,NA,5.8,5.8,7.2,6.6,5.9,5.9,5.7,6.3,7.5,8.6,8.2,6.2,6.3,4.2,3.1,2.9,1.8,2,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.2,0.3,220862,750,228287,750,9,0.9,9
"Camden County, New Jersey",2010,325499,3549,97319,2353,2228,946,25859,1368,34,58,46298,4588,16370,3201,6170,1932,10200,2622,513607,NA,6.5,6.6,6.8,7,6.4,6.7,6.4,6.7,6.8,7.6,7.7,6.4,5.6,3.8,2.9,2.3,2,1.9,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.5,0.4,0.3,0.2,0.2,0.2,0.2,247981,225,265626,225,13.2,1.3,10.9
"Cape May County, New Jersey",2010,88869,1399,4034,1368,1618,1460,969,313,0,281,272,221,1491,1035,166,261,1325,985,97253,NA,4.3,5.2,5.2,6.5,5.1,4.3,5.1,4.9,6,7.2,8.5,7.9,7.8,6.5,5.1,4.8,3.5,2.1,0.5,0.9,0.9,0.7,0.6,0.3,0.9,1,0.8,0.4,0.6,0.8,0.8,0.7,0.8,0.9,0.8,0.7,47163,432,50090,432,11.5,2.5,14
"Cumberland County, New Jersey",2010,97106,3283,32075,1744,1031,464,2062,277,0,281,18236,3497,6639,1738,2049,879,4590,1637,157149,NA,6.7,6.9,6.1,6.5,7.7,6.8,7,7.4,6.7,7.9,6.5,6.3,4.9,3.4,3.5,2.1,1.6,1.9,0.1,0.8,0.8,0.5,0.5,0.3,0.4,0.8,0.8,0.3,0.3,0.6,0.6,0.6,0.6,0.5,0.4,0.5,81480,628,75669,628,14.1,2.4,13
"Essex County, New Jersey",2010,341723,7281,319381,2973,2659,991,36329,1349,40,67,44786,6546,39310,5595,6927,2046,32383,5597,784228,NA,6.9,6.9,6.9,7.1,6.7,6.7,7,7.5,7.3,7.6,7.1,6,4.9,3.2,2.9,2,1.6,1.8,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,376132,459,408096,459,14.1,1,10.8
"Gloucester County, New Jersey",2010,239453,1770,28775,1528,412,299,7611,846,113,189,5424,1920,6793,1700,1640,774,5153,1576,288581,NA,6,6.7,7.2,7.3,6.5,5.6,5.9,6.6,7.5,8.3,7.9,6.5,5.7,3.4,3.2,2.3,1.9,1.4,0.2,0.6,0.6,0.2,0.3,0.3,0.4,0.7,0.6,0.3,0.2,0.5,0.5,0.3,0.3,0.3,0.3,0.3,140308,852,148273,852,11,1.5,10.3
"Hudson County, New Jersey",2010,326560,8134,82880,3579,1336,547,84760,2081,0,281,118741,8431,21017,3230,8444,2303,12573,2360,635294,NA,6.7,5.6,4.9,5.9,7.6,10.7,10.1,8.2,7,6.8,6.3,5.6,4.3,3.3,2.5,1.8,1.6,1.2,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.6,0.5,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,313710,432,321584,432,13.1,0.9,9.6
"Hunterdon County, New Jersey",2010,117555,877,3161,405,208,219,3973,524,102,170,1529,931,1845,699,106,177,1739,646,128373,NA,4.7,7.2,7,6.7,5.2,3.7,4.2,5.9,7.6,10,10.3,8.6,5.8,4.4,3.4,2.1,2.1,1.3,0.3,0.8,0.8,0.4,1,0.3,0.4,0.9,0.9,0.3,0.3,0.8,0.8,0.5,0.8,0.4,0.4,0.4,64063,609,64310,609,10,2.1,7.4
