Geography,year,category,estimate
ATLANTIC,2006,10 to 14 years,19883
ATLANTIC,2006,15 to 17 years,5862
ATLANTIC,2006,18 and 19 years,4778
ATLANTIC,2006,20 years,1234
ATLANTIC,2006,21 years,2804
ATLANTIC,2006,22 to 24 years,3285
ATLANTIC,2006,25 to 29 years,8433
ATLANTIC,2006,30 to 34 years,8064
ATLANTIC,2006,35 to 39 years,9829
ATLANTIC,2006,40 to 44 years,11852
ATLANTIC,2006,45 to 49 years,10612
ATLANTIC,2006,5 to 9 years,16020
ATLANTIC,2006,50 to 54 years,9241
ATLANTIC,2006,55 to 59 years,7671
ATLANTIC,2006,60 and 61 years,2565
ATLANTIC,2006,62 to 64 years,3168
ATLANTIC,2006,65 and 66 years,1464
ATLANTIC,2006,67 to 69 years,3101
ATLANTIC,2006,70 to 74 years,3487
ATLANTIC,2006,75 to 79 years,3504
ATLANTIC,2006,80 to 84 years,2260
ATLANTIC,2006,85 years and over,960
ATLANTIC,2006,Female,140289
ATLANTIC,2006,Male,131331
ATLANTIC,2006,Total,271620
ATLANTIC,2006,Under 5 years,17035
ATLANTIC,2007,10 to 14 years,18901
ATLANTIC,2007,15 to 17 years,5899
ATLANTIC,2007,18 and 19 years,3297
ATLANTIC,2007,20 years,2576
ATLANTIC,2007,21 years,1639
ATLANTIC,2007,22 to 24 years,4696
ATLANTIC,2007,25 to 29 years,7898
ATLANTIC,2007,30 to 34 years,8389
ATLANTIC,2007,35 to 39 years,9643
ATLANTIC,2007,40 to 44 years,10675
ATLANTIC,2007,45 to 49 years,11379
ATLANTIC,2007,5 to 9 years,17015
ATLANTIC,2007,50 to 54 years,9205
ATLANTIC,2007,55 to 59 years,7454
ATLANTIC,2007,60 and 61 years,3465
ATLANTIC,2007,62 to 64 years,2554
ATLANTIC,2007,65 and 66 years,2386
ATLANTIC,2007,67 to 69 years,2683
ATLANTIC,2007,70 to 74 years,3692
ATLANTIC,2007,75 to 79 years,3316
ATLANTIC,2007,80 to 84 years,1994
ATLANTIC,2007,85 years and over,1285
ATLANTIC,2007,Female,139217
ATLANTIC,2007,Male,131427
ATLANTIC,2007,Total,270644
ATLANTIC,2007,Under 5 years,17632
ATLANTIC,2008,10 to 14 years,18509
ATLANTIC,2008,15 to 17 years,5916
ATLANTIC,2008,18 and 19 years,3889
ATLANTIC,2008,20 years,2839
ATLANTIC,2008,21 years,1671
ATLANTIC,2008,22 to 24 years,3706
ATLANTIC,2008,25 to 29 years,7984
ATLANTIC,2008,30 to 34 years,8530
ATLANTIC,2008,35 to 39 years,9245
ATLANTIC,2008,40 to 44 years,10365
ATLANTIC,2008,45 to 49 years,11128
ATLANTIC,2008,5 to 9 years,16603
ATLANTIC,2008,50 to 54 years,9697
ATLANTIC,2008,55 to 59 years,7039
ATLANTIC,2008,60 and 61 years,2738
ATLANTIC,2008,62 to 64 years,3588
ATLANTIC,2008,65 and 66 years,2696
ATLANTIC,2008,67 to 69 years,2534
ATLANTIC,2008,70 to 74 years,3518
ATLANTIC,2008,75 to 79 years,4079
ATLANTIC,2008,80 to 84 years,1601
ATLANTIC,2008,85 years and over,1640
ATLANTIC,2008,Female,138684
ATLANTIC,2008,Male,131997
ATLANTIC,2008,Total,270681
ATLANTIC,2008,Under 5 years,17719
ATLANTIC,2009,10 to 14 years,16860
ATLANTIC,2009,15 to 17 years,5811
ATLANTIC,2009,18 and 19 years,3484
ATLANTIC,2009,20 years,2265
ATLANTIC,2009,21 years,1751
ATLANTIC,2009,22 to 24 years,4165
ATLANTIC,2009,25 to 29 years,8864
ATLANTIC,2009,30 to 34 years,7975
ATLANTIC,2009,35 to 39 years,7295
ATLANTIC,2009,40 to 44 years,10475
ATLANTIC,2009,45 to 49 years,11030
ATLANTIC,2009,5 to 9 years,17277
ATLANTIC,2009,50 to 54 years,10481
ATLANTIC,2009,55 to 59 years,8421
ATLANTIC,2009,60 and 61 years,3635
ATLANTIC,2009,62 to 64 years,4224
ATLANTIC,2009,65 and 66 years,3171
ATLANTIC,2009,67 to 69 years,2471
ATLANTIC,2009,70 to 74 years,3600
ATLANTIC,2009,75 to 79 years,2550
ATLANTIC,2009,80 to 84 years,2036
ATLANTIC,2009,85 years and over,1766
ATLANTIC,2009,Female,139548
ATLANTIC,2009,Male,132164
ATLANTIC,2009,Total,271712
ATLANTIC,2009,Under 5 years,17849
ATLANTIC,2010,10 to 14 years,18761
ATLANTIC,2010,15 to 17 years,5656
ATLANTIC,2010,18 and 19 years,3492
ATLANTIC,2010,20 years,1843
ATLANTIC,2010,21 years,1848
ATLANTIC,2010,22 to 24 years,5844
ATLANTIC,2010,25 to 29 years,7642
ATLANTIC,2010,30 to 34 years,7102
ATLANTIC,2010,35 to 39 years,7045
