Geography,year,median_household_income
ATLANTIC,2015,54052
BERGEN,2015,89023
BURLINGTON,2015,74800
CAMDEN,2015,65025
CAPE MAY,2015,57116
CUMBERLAND,2015,51315
ESSEX,2015,52041
GLOUCESTER,2015,77565
HUDSON,2015,60530
HUNTERDON,2015,102122
MERCER,2015,72417
MIDDLESEX,2015,78643
MONMOUTH,2015,87092
MORRIS,2015,101661
OCEAN,2015,63765
PASSAIC,2015,55954
SALEM,2015,68830
SOMERSET,2015,98440
SUSSEX,2015,85086
UNION,2015,71163
WARREN,2015,71277
ATLANTIC,2014,55408.28509905253
BERGEN,2014,84822.8690783807
BURLINGTON,2014,81035.35572782083
CAMDEN,2014,62437.372954349696
CAPE MAY,2014,56997.01722652885
CUMBERLAND,2014,45417.103359173125
ESSEX,2014,54848.32213608957
GLOUCESTER,2014,79841.30232558139
HUDSON,2014,58579.73901808785
HUNTERDON,2014,103783.47545219638
MERCER,2014,75090.13178294573
MIDDLESEX,2014,77815.81912144703
MONMOUTH,2014,88565.30490956071
MORRIS,2014,100752.26270456502
OCEAN,2014,63762.65202411713
PASSAIC,2014,58905.298880275615
SALEM,2014,57475.84065460809
SOMERSET,2014,100473.78380706286
SUSSEX,2014,82216.38673557277
UNION,2014,69150.91817398793
WARREN,2014,71567.07321274762
ATLANTIC,2013,53101.05197080291
BERGEN,2013,83196.09635036495
BURLINGTON,2013,78844.26919708028
CAMDEN,2013,59089.90773722627
CAPE MAY,2013,61691.632116788314
CUMBERLAND,2013,46837.1509489051
ESSEX,2013,54611.76350364963
GLOUCESTER,2013,72688.34890510948
HUDSON,2013,57126.899562043785
HUNTERDON,2013,112521.01401459852
MERCER,2013,72181.04321167881
MIDDLESEX,2013,78283.99182481751
MONMOUTH,2013,85313.94481751823
MORRIS,2013,102047.9018978102
OCEAN,2013,61352.409635036485
PASSAIC,2013,59998.575766423346
SALEM,2013,63100.47503649634
SOMERSET,2013,99035.64700729925
SUSSEX,2013,90058.98481751823
UNION,2013,65799.99328467152
WARREN,2013,68463.85751824816
ATLANTIC,2012,52920.11822222222
BERGEN,2012,85523.40177777778
BURLINGTON,2012,77215.96355555554
CAMDEN,2012,61282.346666666665
CAPE MAY,2012,58926.3671111111
CUMBERLAND,2012,48661.98755555555
ESSEX,2012,52731.97066666666
GLOUCESTER,2012,75393.41333333333
HUDSON,2012,59482.53955555555
