buyer_county,year,population,perc_age_up_to_24,blind_and_disability,Estimate; White alone,estimate_race_total,unemployment_rate_bls,prescription_rate,dosage_rate_per_100,potential_pills_per_prescription
Atlantic,2006,271759,32.6,4543,178184,271620,5.8,84.8,3232.8493260572786,38.12322318463772
Atlantic,2007,272303,32.9,4726,177910,270644,5.9,89.4,3746.780608366415,41.91029763273395
Atlantic,2008,273014,32.8,4885,177019,270681,6.8,91,4199.821254587677,46.1518819185459
Atlantic,2009,270016,32,5108,184963,271712,11.9,89,3899.095609149087,43.81006302414705
Atlantic,2010,273162,32.6,5377,184736,274685,12.3,83.4,3866.2661717222745,46.35810757460761
Atlantic,2011,273674,32.4,5633,179270,274338,12.5,83.4,4108.541549434729,49.26308812271857
Atlantic,2012,274402,32.4,5789,183122,275422,12.7,85.7,3948.032448743085,46.06805657809901
Bergen,2006,889406,30.4,5821,672604,904037,3.9,46.3,1429.7268064303591,30.879628648603873
Bergen,2007,890817,30.1,5879,654060,895744,3.4,48,1675.2611366868841,34.90127368097675
Bergen,2008,895328,30,5978,675769,894840,4.4,48.9,1885.7670038242968,38.56374240949482
Bergen,2009,888546,30.1,6109,665215,895250,7.8,49.1,1875.6698021261702,38.201014299922
Bergen,2010,896482,29.9,6373,666546,906541,8,50,2003.3642616360396,40.06728523272079
Bergen,2011,900730,29.8,6569,654563,911004,7.7,50.9,2242.9529381723714,44.06587304857311
Bergen,2012,906781,29.7,6715,655469,918888,7.7,48.2,2108.441839870928,43.743606636326305
Burlington,2006,448373,31.6,4158,336398,450627,4.2,59.3,2275.719992060182,38.37639109713629
Burlington,2007,447560,31.9,4203,335121,446817,3.8,63.1,2676.4138886406295,42.41543405135704
Burlington,2008,446831,31.6,4367,336421,445475,4.9,67.3,3193.589970257211,47.45304562046377
Burlington,2009,446301,31.7,4474,336957,446108,8.4,71.1,3216.0402956748917,45.23263425703083
Burlington,2010,447861,31.3,4715,334694,449149,9,72,3462.359973295286,48.08833296243453
Burlington,2011,448095,31.1,4916,330917,449576,8.7,72.2,3667.1420122964996,50.791440613524934
Burlington,2012,449117,31,5058,329194,451336,8.7,72.4,3584.6093556912783,49.51117894601213
Camden,2006,513195,34.3,11914,345113,517001,5.3,85.3,3356.5095139274545,39.349466751787276
Camden,2007,513546,34.1,12103,341175,513769,4.8,89.8,3856.101108761435,42.94099230246587
Camden,2008,513853,33.9,12580,345676,517234,5.9,94.2,4254.208888534269,45.1614531691536
Camden,2009,516937,33.3,12932,342838,517879,9.9,92.1,4239.480633036521,46.0312772316669
Camden,2010,513574,33.3,13519,325499,513607,10.9,91.8,4537.194639915571,49.42477821258793
Camden,2011,513582,33.1,13922,333172,513241,10.8,90,4725.134058436627,52.50148953818475
Camden,2012,513660,32.6,14404,326496,513539,10.7,92.9,4604.876766732858,49.568102978825166
Cape May,2006,98695,27.1,1367,88601,97724,7,93.1,3380.104361923097,36.30616930099996
Cape May,2007,97686,27.3,1419,88470,96422,6.6,105.5,3915.7218025100833,37.11584646928989
Cape May,2008,97550,27,1455,87337,95838,7.9,107,3956.6171194259355,36.977730088092855
