county,year,blind_and_disability
Atlantic,2006,4543
Bergen,2006,5821
Burlington,2006,4158
Camden,2006,11914
Cape May,2006,1367
Cumberland,2006,4334
Essex,2006,21629
Gloucester,2006,3271
Hudson,2006,15248
Hunterdon,2006,569
Mercer,2006,5982
Middlesex,2006,6817
Monmouth,2006,5533
Morris,2006,2319
Ocean,2006,4756
Passaic,2006,10525
Salem,2006,1180
Somerset,2006,1550
Sussex,2006,1263
Union,2006,6857
Warren,2006,1030
Atlantic,2007,4726
Bergen,2007,5879
Burlington,2007,4203
Camden,2007,12103
Cape May,2007,1419
Cumberland,2007,4410
Essex,2007,21728
Gloucester,2007,3414
Hudson,2007,15240
Hunterdon,2007,573
Mercer,2007,6304
Middlesex,2007,6977
Monmouth,2007,5548
Morris,2007,2387
Ocean,2007,4838
Passaic,2007,10575
Salem,2007,1246
Somerset,2007,1530
Sussex,2007,1250
Union,2007,6952
Warren,2007,1034
Atlantic,2008,4885
Bergen,2008,5978
Burlington,2008,4367
Camden,2008,12580
Cape May,2008,1455
Cumberland,2008,4533
Essex,2008,22122
Gloucester,2008,3501
Hudson,2008,15508
Hunterdon,2008,602
Mercer,2008,6682
Middlesex,2008,7198
Monmouth,2008,5684
Morris,2008,2430
Ocean,2008,5032
Passaic,2008,10793
Salem,2008,1283
Somerset,2008,1595
Sussex,2008,1292
Union,2008,6985
Warren,2008,1075
Atlantic,2009,5108
Bergen,2009,6109
Burlington,2009,4474
Camden,2009,12932
Cape May,2009,1560
Cumberland,2009,4614
Essex,2009,22484
Gloucester,2009,3580
Hudson,2009,15639
Hunterdon,2009,626
Mercer,2009,7049
Middlesex,2009,7350
Monmouth,2009,5752
Morris,2009,2469
Ocean,2009,5273
Passaic,2009,11010
Salem,2009,1324
Somerset,2009,1675
Sussex,2009,1381
Union,2009,7244
Warren,2009,1104
Atlantic,2010,5377
Bergen,2010,6373
Burlington,2010,4715
Camden,2010,13519
Cape May,2010,1644
Cumberland,2010,4788
Essex,2010,23351
Gloucester,2010,3830
Hudson,2010,15963
Hunterdon,2010,645
Mercer,2010,7515
Middlesex,2010,7623
Monmouth,2010,5991
Morris,2010,2586
Ocean,2010,5553
Passaic,2010,11316
Salem,2010,1392
Somerset,2010,1782
Sussex,2010,1420
Union,2010,7603
Warren,2010,1153
Atlantic,2011,5633
Bergen,2011,6569
Burlington,2011,4916
Camden,2011,13922
Cape May,2011,1701
Cumberland,2011,4942
Essex,2011,24002
Gloucester,2011,4017
Hudson,2011,16156
Hunterdon,2011,660
Mercer,2011,7836
Middlesex,2011,7840
Monmouth,2011,6249
Morris,2011,2708
Ocean,2011,5889
Passaic,2011,11529
Salem,2011,1488
Somerset,2011,1937
Sussex,2011,1463
Union,2011,7841
Warren,2011,1186
Atlantic,2012,5789
Bergen,2012,6715
Burlington,2012,5058
Camden,2012,14404
Cape May,2012,1705
Cumberland,2012,5062
Essex,2012,24501
Gloucester,2012,4219
Hudson,2012,16330
Hunterdon,2012,693
Mercer,2012,8295
Middlesex,2012,8110
Monmouth,2012,6442
Morris,2012,2839
Ocean,2012,6218
Passaic,2012,11706
Salem,2012,1494
Somerset,2012,2023
Sussex,2012,1465
Union,2012,8113
Warren,2012,1217
Atlantic,2013,5890
Bergen,2013,6818
Burlington,2013,5218
Camden,2013,14703
Cape May,2013,1693
Cumberland,2013,5150
Essex,2013,24878
Gloucester,2013,4309
Hudson,2013,16355
Hunterdon,2013,721
Mercer,2013,8775
Middlesex,2013,8344
Monmouth,2013,6575
Morris,2013,2828
Ocean,2013,6290
Passaic,2013,11767
Salem,2013,1556
Somerset,2013,2134
Sussex,2013,1508
Union,2013,8370
Warren,2013,1235
Atlantic,2014,5951
Bergen,2014,6941
Burlington,2014,5265
Camden,2014,15028
Cape May,2014,1691
Cumberland,2014,5305
Essex,2014,25240
Gloucester,2014,4245
Hudson,2014,16036
Hunterdon,2014,769
Mercer,2014,8348
Middlesex,2014,8352
Monmouth,2014,6735
Morris,2014,2890
Ocean,2014,6484
Passaic,2014,11684
Salem,2014,1552
Somerset,2014,1975
Sussex,2014,1525
Union,2014,8651
Warren,2014,1242
Atlantic,2015,5982
Bergen,2015,7032
Burlington,2015,5269
Camden,2015,15142
Cape May,2015,1678
Cumberland,2015,5468
Essex,2015,25210
Gloucester,2015,4160
Hudson,2015,15770
Hunterdon,2015,753
Mercer,2015,8408
Middlesex,2015,8527
Monmouth,2015,6642
Morris,2015,2816
Ocean,2015,6584
Passaic,2015,11744
Salem,2015,1619
Somerset,2015,1929
Sussex,2015,1522
Union,2015,8595
Warren,2015,1305
Atlantic,2016,6077
Bergen,2016,6994
Burlington,2016,5329
Camden,2016,15188
Cape May,2016,1608
Cumberland,2016,5567
Essex,2016,24812
Gloucester,2016,4162
Hudson,2016,15572
Hunterdon,2016,714
Mercer,2016,8363
Middlesex,2016,8452
Monmouth,2016,6601
Morris,2016,2811
Ocean,2016,6525
Passaic,2016,11554
Salem,2016,1609
Somerset,2016,2074
Sussex,2016,1490
Union,2016,8540
Warren,2016,1318
